id,name,password,avatar,email,resetPasswordToken,resetPasswordExpires,createdAt,updatedAt
1,admin,$2a$10$sVC4sU9AYN9TE6ycJxChN.BtLhQgzf1g8Q.tcqJdezUyhZKwLBSBy,/images/avatars/defavatar.jpg,test@test.test,NULL,"2016-10-03 10:24:05","2016-10-03 10:24:05","2016-10-03 10:24:05"
2,utro,$2a$10$dDv0qJQNlzPJ4V7ubVid5uMMzlbPdx1APBqJ.EkP/x0drOwuyhyR2,/images/avatars/defavatar.jpg,v.kokovin@gmail.com,NULL,"2016-10-03 10:24:05","2016-10-03 10:24:05","2016-10-03 10:24:05"
3,superchel,$2a$10$P.eT3.G6/vFTO0hwz9ZTl.Ms79gFg/EixOH26VPO2PbbPakOibMTC,/images/avatars/defavatar.jpg,test2@test.test,NULL,"2016-10-03 10:24:05","2016-10-03 10:24:05","2016-10-03 10:24:05"
24,user3,$2a$10$CRE7O7mVFAx11UD3AIsKn.pbZHtQlZRPVltkra1lmwf.UoRISJ1Fm,/images/avatars/defavatar.jpg,test3@test.test,NULL,"2016-10-03 10:24:05","2016-10-04 11:10:15","2016-10-04 11:10:15"
25,user4,$2a$10$HbfFrfQkCL.Qty1ikFEakO/f7jOI.PPNqVYfEGo7kFY6UThxD3IMq,/images/avatars/defavatar.jpg,test4@test.test,NULL,"2016-10-03 10:24:05","2016-10-04 11:10:15","2016-10-04 11:10:15"
26,user5,$2a$10$Njadr4/H2EwX9erKZaN6He/ltTuw7MyCESVFLDB14cWtOj1OeXkGS,/images/avatars/defavatar.jpg,test5@test.test,NULL,"2016-10-03 10:24:05","2016-10-04 11:10:15","2016-10-04 11:10:15"
27,user6,$2a$10$aQo/yCPlijFUJ.SauIR.4O0vUbHd1g285h6x2tVQaev0Pah1UVAdW,/images/avatars/defavatar.jpg,test6@test.test,NULL,"2016-10-03 10:24:05","2016-10-04 11:10:15","2016-10-04 11:10:15"
28,user7,$2a$10$J4rpFPFCNg9zA1/Wdr5nce4SVI6/C77yHi3gmD2bDEKqXrEOocVGe,/images/avatars/defavatar.jpg,test7@test.test,NULL,"2016-10-03 10:24:05","2016-10-04 11:10:15","2016-10-04 11:10:15"
29,user8,$2a$10$ZPfRhO18x1rnI1CtSEe2kegZ3OU56y85ra4SzPStVuLoB/8xEMnV.,/images/avatars/defavatar.jpg,test8@test.test,NULL,"2016-10-03 10:24:05","2016-10-04 11:10:15","2016-10-04 11:10:15"
30,user9,$2a$10$OQn9qaw9gBpzSYKLXvP2DuAWL/Tx.lnQg5bd6EiB7xifIK2Q7K0Fa,/images/avatars/defavatar.jpg,test9@test.test,NULL,"2016-10-03 10:24:05","2016-10-04 11:10:15","2016-10-04 11:10:15"
31,user10,$2a$10$wQRY4ECTrywD5eLGZi1cUe43mp8O0zhkd410ptlk82U5HLhz4fpke,/images/avatars/defavatar.jpg,test10@test.test,NULL,"2016-10-03 10:24:05","2016-10-04 11:10:15","2016-10-04 11:10:15"
